PID	Sample_run	chr	LTR	provirus_orientation	bp_pseudo3LTR
1079	1079_PBMC	chr1	3LTR	+	6858045
1079	1079_PBMC	chr1	3LTR	+	21100528
1079	1079_LN	chr1	3LTR	+	28859743
1079	1079_PBMC	chr1	3LTR	+	32585796
1079	1079_PBMC	chr1	3LTR	+	33098618
1079	1079_PBMC	chr1	3LTR	+	42379535
1079	1079_PBMC	chr1	3LTR	-	52975603
1079	1079_LN	chr1	3LTR	+	76245422
1079	1079_PBMC	chr1	3LTR	+	79096940
1079	1079_PBMC	chr1	3LTR	+	87087872
1079	1079_PBMC	chr1	3LTR	-	87276948
1079	1079_PBMC	chr1	3LTR	+	89780866
1079	1079_PBMC	chr1	3LTR	+	92754021
1079	1079_PBMC	chr1	3LTR	+	111197609
1079	1079_PBMC	chr1	3LTR	+	146340712
1079	1079_PBMC	chr1	3LTR	+	167199415
1079	1079_PBMC	chr1	3LTR	-	171460899
1079	1079_PBMC	chr1	5LTR	-	175540695
1079	1079_PBMC	chr1	3LTR	-	179207254
1079	1079_LN	chr1	3LTR	+	183467726
1079	1079_PBMC	chr1	3LTR	+	193181281
1079	1079_PBMC	chr1	3LTR	+	217750534
1079	1079_PBMC	chr1	3LTR	-	247301555
1079	1079_PBMC	chr10	3LTR	-	2968190
1079	1079_PBMC	chr10	3LTR	+	6177368
1079	1079_LN	chr10	5LTR	+	7868101
1079	1079_PBMC	chr10	5LTR	+	7868101
1079	1079_PBMC	chr10	5LTR	+	13458425
1079	1079_PBMC	chr10	3LTR	+	27417508
1079	1079_LN	chr10	3LTR	+	28884585
1079	1079_LN	chr10	3LTR	+	46163973
1079	1079_PBMC	chr10	3LTR	+	51049721
1079	1079_LN	chr10	3LTR	+	69764226
1079	1079_PBMC	chr10	3LTR	-	74894059
1079	1079_PBMC	chr10	3LTR	-	88257573
1079	1079_PBMC	chr10	3LTR	+	108229601
1079	1079_PBMC	chr11	5LTR	+	1599815
1079	1079_LN	chr11	5LTR	-	2448328
1079	1079_LN	chr11	5LTR	-	8396413
1079	1079_LN	chr11	3LTR	+	14885494
1079	1079_PBMC	chr11	3LTR	+	40051111
1079	1079_LN	chr11	5LTR	-	60783418
1079	1079_PBMC	chr11	3LTR	+	62322388
1079	1079_LN	chr11	3LTR	+	62338612
1079	1079_PBMC	chr11	3LTR	-	65117303
1079	1079_LN	chr11	3LTR	+	65875018
1079	1079_LN	chr11	3LTR	+	67044709
1079	1079_PBMC	chr11	3LTR	-	72447446
1079	1079_LN	chr11	3LTR	+	74854855
1079	1079_PBMC	chr11	5LTR	+	87076299
1079	1079_PBMC	chr11	3LTR	-	91464277
1079	1079_PBMC	chr11	3LTR	-	93410792
1079	1079_PBMC	chr11	3LTR	+	96703040
1079	1079_PBMC	chr11	3LTR	-	97588871
1079	1079_PBMC	chr11	5LTR	+	111207821
1079	1079_PBMC	chr11	3LTR	+	118325032
1079	1079_PBMC	chr11	3LTR	+	133140935
1079	1079_PBMC	chr12	3LTR	+	883176
1079	1079_PBMC	chr12	3LTR	+	6448972
1079	1079_PBMC	chr12	3LTR	-	12884376
1079	1079_PBMC	chr12	3LTR	+	54009617
1079	1079_LN	chr12	3LTR	-	92504239
1079	1079_PBMC	chr12	3LTR	+	95471936
1079	1079_PBMC	chr12	3LTR	-	105251571
1079	1079_PBMC	chr12	3LTR	+	120400104
1079	1079_PBMC	chr12	3LTR	+	120629304
1079	1079_PBMC	chr12	3LTR	+	133230170
1079	1079_PBMC	chr13	3LTR	+	49101593
1079	1079_LN	chr13	3LTR	-	115006455
1079	1079_PBMC	chr14	3LTR	+	23373575
1079	1079_LN	chr14	3LTR	+	29927256
1079	1079_LN	chr14	3LTR	+	33272063
1079	1079_LN	chr14	3LTR	+	35658071
